"id","ip_usuario","tipo_movimiento","origen","elementos_involucrados","fecha_hora","comentarios"
"1","192.168.1.38","1","Instagram Bio","Home_Page","2025-11-01 09:36:00","Inicio de sesion"
"2","192.168.1.38","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-01 09:36:24","Navegando catalogo"
"3","192.168.1.38","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 09:37:09","Navegando catalogo"
"4","192.168.1.38","2","Instagram Bio","btn_ver_tallas","2025-11-01 09:37:11","Interaccion interfaz"
"5","192.168.1.38","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-01 09:37:38","Navegando catalogo"
"6","192.168.1.38","2","Instagram Bio","img_zoom","2025-11-01 09:37:40","Interaccion interfaz"
"7","192.168.1.38","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-01 09:38:01","Navegando catalogo"
"8","192.168.1.38","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 09:38:23","Navegando catalogo"
"9","192.168.1.38","4","Instagram Bio","btn_finalizar_pago_exitoso","2025-11-01 09:39:01","Venta Exitosa"
"10","192.168.1.36","1","Instagram Bio","Home_Page","2025-11-01 10:28:00","Inicio de sesion"
"11","192.168.1.36","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 10:28:29","Navegando catalogo"
"12","192.168.1.36","2","Instagram Bio","img_zoom","2025-11-01 10:28:31","Interaccion interfaz"
"13","192.168.1.36","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 10:28:49","Navegando catalogo"
"14","192.168.1.36","2","Instagram Bio","link_menu_hombres","2025-11-01 10:28:51","Interaccion interfaz"
"15","192.168.1.30","1","Newsletter","Home_Page","2025-11-01 11:03:00","Inicio de sesion"
"16","192.168.1.30","3","Newsletter","vista_Jean_Slim_Negro","2025-11-01 11:03:10","Navegando catalogo"
"17","192.168.1.30","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-01 11:03:48","Navegando catalogo"
"18","192.168.1.30","2","Newsletter","img_zoom","2025-11-01 11:03:50","Interaccion interfaz"
"19","192.168.1.30","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 11:04:13","Navegando catalogo"
